"hospital","total_bill_amount"
"Carter-Martin","25129.81"
"Shepard-Lopez","25129.80"
"Rose and Scott Holt,","25127.63"
"and Young, Torres Figueroa","25126.24"
"Walters-Ramos","25123.00"
"Riggs Casey Solis, and","25122.51"
"Morgan-Velez","25122.41"
"Garrison, Parsons and Jones","25121.77"
"Guerrero-Simon","25120.98"
"Cooper-Robles","25120.16"
"Hayes Owens Jefferson, and","25119.63"
"Dorsey Inc","25118.95"
"Ayala-Chavez","25117.57"
"and Miller Thomas, Lucero","25117.36"
"Hall-Griffin","25116.98"
"Tyler-Robertson","25116.50"
"and Singleton Thomas, Wilson","25116.24"
"Hernandez Cruz, Hull and","25116.01"
"Harris-Stout","25112.97"
"Morgan-Mills","25110.35"
"Diaz, and Villanueva Becker","25110.01"
"Woods Gordon Nicholson, and","25108.25"
"LLC Woodward","25105.36"
"Goodwin-Clark","25104.55"
"Brooks Gregory Garrett, and","25104.51"
"Miller-White","25102.90"
"Wood and Murphy Jones,","25100.38"
"Cortez-Cannon","25098.25"
"Inc Stark","25097.38"
"Group Stein","25094.95"
"Acosta-Dickerson","25091.45"
"Vaughn-Hill","25091.04"
"Henry and Sons","25090.53"
"Cardenas and Moore, Ellis","25090.27"
"Hart Rogers Myers, and","25088.95"
"Gomez, Mills Hernandez and","25088.00"
"Peck and Sons","25087.96"
"Lambert, and Joseph Holland","25087.39"
"Lewis-Mitchell","25086.01"
"Torres, and Lawrence Wright","25084.43"
"Pennington-Mann","25083.99"
"Stanley PLC","25073.52"
"Irwin-Vaughn","25073.15"
"Reese-Ortiz","25073.06"
"and White, Harris Moore","25072.85"
"Garcia-West","25072.60"
"PLC Cohen","25071.50"
"Inc Lynch","25071.32"
"Simon Fields and Garcia,","25070.32"
"Sons Hopkins and","25069.64"
"Long-Cantrell","25067.54"
"Davis-Padilla","25066.52"
"Aguilar-Leonard","25065.03"
"Haynes Inc","25060.65"
"Nichols-Paul","25058.85"
"Sons and Knight","25058.07"
"Sanchez, Galloway and Green","25056.66"
"Jimenez Collins and Wilson,","25054.39"
"Lindsey-Duran","25053.68"
"Brown-Franklin","25053.63"
"Burgess Lopez, Baker and","25052.84"
"Fuentes Thornton Santiago, and","25052.43"
"Duran Price Lopez, and","25051.50"
"Stone-Stout","25051.50"
"Villegas-Pacheco","25051.42"
"Mosley PLC","25050.97"
"Garcia Morales and Pope,","25049.63"
"Campbell Snyder and Avery,","25049.18"
"and Johnson Buck Silva,","25048.50"
"Nguyen-Hunt","25048.05"
"Lee, Miller and Mays","25045.49"
"Meadows, and Guerrero Scott","25044.38"
"Rollins-Aguilar","25043.54"
"Roberts-Morrison","25040.06"
"Lewis, and Stone Beck","25037.58"
"Boyd-Boyd","25036.94"
"Carpenter, and Tran Perez","25036.12"
"Smith Harris and Ball,","25035.61"
"Maddox, and Thomas Conner","25033.86"
"Medina-Fitzgerald","25033.62"
"Skinner-Bishop","25028.87"
"and Brock Doyle Cisneros,","25026.29"
"LLC Mills","25026.14"
"Castillo-Hall","25026.07"
"Wade Ltd","25024.07"
"Camacho-Mckenzie","25022.27"
"Spencer-Solis","25021.41"
"Hawkins Sons and","25019.05"
"Stewart-Jones","25018.40"
"Martin Thomas, and Gibbs","25018.15"
"Lopez and Martin, Doyle","25017.28"
"Lyons Gilbert, White and","25016.38"
"and Cole Sons","25016.10"
"and Green, Kane Hammond","25012.64"
"Jones Bruce and Bell,","25012.58"
"Wise-Gray","25011.02"
"Weaver and Rodriguez Clark,","25008.36"
"Ellison-Wagner","25007.85"
"Lynch and Nguyen, Hull","25007.82"
"Scott-Simpson","25007.65"
"Simmons-Middleton","25007.55"
"Hall and Sons","25007.00"
"Robinson-Allen","25002.94"
"Atkinson-King","24999.69"
"Gilbert and Downs, Henderson","24996.54"
"Medina, Henderson and Henry","24992.41"
"and Benton Sons","24991.79"
"and Santiago Spencer Morrison,","24991.04"
"Christensen, Rivera and Knox","24990.40"
"Ltd Ochoa","24989.77"
"Williams and Davis Spears,","24986.98"
"Ray Inc","24986.59"
"and Shaw, Page Banks","24985.98"
"Patterson and Roberts Wheeler,","24985.36"
"Quinn-Wells","24984.41"
"Gonzalez-Mendoza","24980.26"
"and Carrillo Carroll, Watson","24980.05"
"Harding-Adams","24977.27"
"Lopez and Eaton Weber,","24976.27"
"Mendoza-Lee","24973.40"
"Washington, Juarez and Smith","24973.31"
"Saunders Inc","24971.75"
"and Griffin Lindsey Page,","24968.26"
"Lopez-Mosley","24964.55"
"Garcia-Dougherty","24964.30"
"Moore and Atkins Benson,","24962.37"
"Inc Carrillo","24958.87"
"King Carroll Tran, and","24958.09"
"King Green, and Wong","24955.77"
"Bullock and Peck Morris,","24954.10"
"Poole-Armstrong","24953.89"
"LLC Torres","24953.37"
"Carlson Davis Wise, and","24949.89"
"Willis-Dixon","24947.59"
"Norton Wiley Clayton, and","24945.14"
"Hall and Ray, Johnson","24944.88"
"Williams and Bernard, Blair","24944.38"
"Calhoun-Woods","24943.25"
"and Lewis Bush Kelley,","24943.13"
"Ltd Hammond","24942.20"
"Mendoza, White and Hernandez","24941.12"
"Hernandez-Myers","24940.67"
"Sons and Richardson","24938.40"
"Brown Torres and Foster,","24938.39"
"Eaton and Jackson, Nunez","24937.58"
"Webster-Williams","24936.25"
"Huynh-Livingston","24935.18"
"Jefferson PLC","24933.68"
"Baker-Mann","24932.44"
"Salas-Hopkins","24931.44"
"Lewis Johnson Peterson, and","24929.52"
"Simmons, and Mason Shepherd","24929.12"
"Hartman-Erickson","24927.53"
"Stephenson and Dominguez Garcia,","24926.97"
"and Bond Pitts, Becker","24921.05"
"Morgan Roberts Roberts, and","24920.99"
"Alexander Williams and Dixon,","24919.65"
"Arellano and Martinez Casey,","24919.01"
"and Bowman Yang, Caldwell","24918.82"
"Harvey-Vaughn","24911.07"
"Rangel Duffy, Lewis and","24910.44"
"Wade-Hatfield","24908.47"
"Miller-Parks","24906.60"
"Morris-Calderon","24904.06"
"and Gray Rogers Flores,","24903.62"
"Velez Marshall Black, and","24897.77"
"Sons and Valdez","24897.07"
"Group Bullock","24896.65"
"Rowe-Fisher","24896.47"
"Harrington-Perez","24894.73"
"Underwood Ryan Maldonado, and","24893.25"
"and Williams Sanchez, Obrien","24890.81"
"and Phillips Floyd, Jackson","24888.46"
"Nolan-Welch","24887.99"
"Galvan-Hopkins","24887.58"
"Miller and Gibson, Martinez","24886.84"
"Garrett, and Daugherty Johnson","24886.26"
"Hale Garcia and Smith,","24885.25"
"Inc Woodard","24884.45"
"Nguyen-Miller","24883.10"
"Blanchard-Adams","24883.02"
"Andrews-Cohen","24882.16"
"Norton Perez and Smith,","24881.15"
"Love-Brandt","24878.13"
"Allen, Chaney Rice and","24874.75"
"Haley-Sanders","24874.03"
"Sweeney, and Martin Meza","24872.55"
"Daniel-Murillo","24872.35"
"Valdez-Smith","24871.25"
"Harvey Group","24870.95"
"Group Hood","24870.10"
"Patterson-Morgan","24868.31"
"Oconnor-Ware","24867.78"
"and Owens Smith Johnson,","24864.17"
"Gomez Flores, Lee and","24863.97"
"Rose-Day","24860.01"
"Robinson-Harrell","24855.36"
"Davis-Butler","24855.26"
"Nelson-Chavez","24854.10"
"Mercer-Powers","24850.96"
"Smith-Richard","24849.82"
"Martin, Morris and Mercado","24843.20"
"Jackson Morgan, Oliver and","24841.66"
"Lee-Tate","24841.37"
"Hamilton Smith, Brown and","24841.11"
"Hanna-Meadows","24840.65"
"Farmer-Sanchez","24840.30"
"Barker-Adams","24838.36"
"Williams, Nicholson and Li","24838.23"
"Moreno-Nelson","24838.16"
"Sons Fisher and","24833.67"
"Garcia, Wells and Fuentes","24830.13"
"Graham Sons and","24827.55"
"and Valdez Watkins Andrews,","24826.95"
"Mcfarland Lewis, and Price","24824.74"
"Hawkins-Campbell","24821.52"
"Wright-Reilly","24821.47"
"Hall, Gonzalez Wilson and","24821.38"
"Ramirez-Murphy","24820.78"
"Padilla-Cox","24819.21"
"Roach and Smith Kelly,","24816.77"
"Wallace and Anderson, Hunter","24816.38"
"Campbell-Smith","24815.96"
"Winters-Powers","24815.51"
"Perez-Wang","24815.04"
"Davis, Guzman and Hill","24814.09"
"Romero, and Craig Golden","24813.54"
"Fields Group","24812.49"
"Cooper-Lee","24811.97"
"Cox and Levy Watson,","24811.17"
"Graham-Ewing","24805.25"
"Mullins-Wilson","24804.68"
"Khan LLC","24803.21"
"Mcdonald-Eaton","24802.79"
"Davis, Perkins Garza and","24802.18"
"Abbott Moore and Williams,","24799.60"
"Chambers Wright, Brown and","24798.74"
"Campbell, Glover Fisher and","24794.65"
"Smith Miller, and Perez","24794.42"
"Kelly Scott, Brown and","24792.17"
"Braun Kim, and Lowe","24791.65"
"Herrera Garcia Cochran, and","24790.13"
"Greene and Cantu, Robertson","24787.90"
"Douglas, Larson and Perez","24786.58"
"Armstrong Everett, Adams and","24786.22"
"Lynch-Mills","24786.21"
"Nunez PLC","24785.12"
"Day Jackson Williams, and","24784.09"
"and Hernandez, Fletcher Oneal","24783.84"
"James-Adkins","24781.74"
"Ramirez-Green","24778.84"
"Jones Allen, Rhodes and","24771.93"
"Sandoval Bell, Jones and","24770.70"
"Wu, Lee Rivera and","24770.62"
"Williams, and Dean Smith","24769.24"
"Benitez-Nguyen","24768.46"
"Charles, Robbins Rios and","24767.31"
"Ware Johnson, Benjamin and","24764.98"
"and White, Pena Lane","24764.74"
"Marquez and Goodman, Price","24764.48"
"Harvey and Smith, Johnson","24763.46"
"Pugh and Sons","24762.58"
"Summers-Frank","24759.00"
"Miller Bell, Owen and","24758.86"
"Maldonado, Williams Taylor and","24757.70"
"Ltd Bolton","24757.32"
"and Sons Sloan","24757.27"
"Mayo Ltd","24756.26"
"and Bonilla Ellis Alvarado,","24756.15"
"York Kelly Contreras, and","24754.04"
"Brock-Roberson","24753.22"
"Newman and Tucker, Whitney","24752.17"
"Maxwell Adams Williams, and","24751.87"
"Riley-Scott","24750.80"
"and Ramirez Thompson Haynes,","24748.76"
"Humphrey, and Chapman Jones","24747.54"
"and Williams, Brown Mckenzie","24747.35"
"Turner Perez, Fields and","24747.06"
"Sanchez, and Page Watkins","24744.15"
"Mcdowell, Mckay Harris and","24742.16"
"Hatfield Inc","24740.45"
"Logan and Randolph, Wells","24737.65"
"Morgan-Williams","24732.91"
"Martin-Hart","24732.84"
"Mclaughlin Barber Zuniga, and","24731.90"
"Wood Burton Lawson, and","24731.60"
"Barr and Fitzgerald Newton,","24731.22"
"Sherman-Anderson","24729.41"
"Inc Acevedo","24729.33"
"Dalton-Stephenson","24728.79"
"and Merritt Lowe Martin,","24727.49"
"Reeves-Martin","24727.00"
"and Clark, Curry Sweeney","24726.04"
"and Sons Webster","24722.26"
"Colon, Long and Hammond","24720.44"
"French-Newman","24720.40"
"Gutierrez Group","24720.14"
"Wright-Ingram","24719.66"
"Zavala, Kerr Diaz and","24715.86"
"Rose-Gibson","24715.62"
"Bowman, Blevins Hart and","24713.35"
"Allen-Duran","24712.64"
"Stephens Martinez, and Romero","24711.90"
"and Harris Wilson Pham,","24710.98"
"Walker-Meyers","24710.69"
"Anderson-Adams","24710.21"
"Smith-Adams","24709.00"
"Chang Inc","24707.00"
"Johnson-Wells","24704.37"
"Valenzuela-Young","24704.19"
"Mcmahon, and Steele Rose","24701.87"
"Charles Group","24701.49"
"Collins-Mcdonald","24701.35"
"Martinez-Gonzalez","24698.96"
"Oconnell-Wheeler","24696.91"
"and Roman Byrd, Porter","24696.32"
"David Inc","24695.57"
"Anderson-Cox","24692.84"
"Gill, Jones Hill and","24692.78"
"Haney-Marshall","24691.25"
"Underwood-Mcguire","24690.22"
"Cooper Williams May, and","24690.01"
"and Brennan Rivera, Mckinney","24688.63"
"Todd-Jones","24687.76"
"LLC Camacho","24686.38"
"and Sons Cantu","24685.15"
"Group Blevins","24684.04"
"Herring Ltd","24683.02"
"and Martin Rosario, Waller","24682.84"
"Matthews-Davis","24681.23"
"LLC Boone","24680.06"
"and Saunders Gomez Morse,","24677.91"
"Spencer-Chavez","24676.39"
"Hall Phillips, and Hurley","24675.67"
"Frank and Sons","24674.85"
"George-Parrish","24674.47"
"Smith and Johnson, Singh","24673.95"
"Kennedy-Woodard","24673.56"
"Carpenter, Smith Henry and","24671.06"
"Williams, Gomez and Rogers","24670.64"
"Group Joseph","24670.58"
"Frazier-Lee","24670.35"
"Bailey-Turner","24670.32"
"Anderson, Bishop and Fuller","24670.20"
"Cole Dawson and King,","24668.50"
"Taylor-Nelson","24668.20"
"Bradford-Martin","24668.16"
"Flores-Jones","24667.07"
"Anderson, and Taylor Price","24664.31"
"Bush, Boyd and Roberts","24663.16"
"Brown and Mclaughlin Brooks,","24660.95"
"Clark Rasmussen, Nelson and","24659.44"
"Williams Armstrong Richmond, and","24658.67"
"Bowman Guerrero, and Oconnor","24658.25"
"Mendoza Sanders, and Pruitt","24658.10"
"Sons Aguilar and","24655.84"
"and Rice Wheeler, Jennings","24655.23"
"Clark and King Harris,","24653.63"
"and Sons Perkins","24653.15"
"Hudson and Hale, Kelly","24652.50"
"Owen Ltd","24652.07"
"and Norris, Fuller Gray","24651.50"
"Taylor, Turner Johnson and","24650.59"
"Cain Inc","24650.44"
"and Vaughan Williams Powers,","24647.58"
"Burton, Gibson and Ryan","24647.22"
"Barber-Nunez","24646.84"
"Garcia Hansen Rogers, and","24644.57"
"Stevens and Lopez Delacruz,","24644.56"
"Collier Harris Gordon, and","24644.04"
"Thomas Robbins and Price,","24643.91"
"and Sons Golden","24641.60"
"Russo-Steele","24640.88"
"Ltd Neal","24640.44"
"Marquez PLC","24639.44"
"Carr-Smith","24639.16"
"Mason Martinez and Hanson,","24638.62"
"Fleming-Klein","24638.36"
"Miller-Lawson","24637.09"
"Hill-Wall","24635.74"
"George-Hill","24629.68"
"Henry-Osborne","24629.48"
"PLC Greene","24626.49"
"Thomas-Perez","24625.78"
"Patel and White, Lucas","24625.50"
"Martin-Hunter","24625.34"
"Rodriguez-Mckee","24623.15"
"Sons Graham and","24621.45"
"Marquez-Wells","24620.77"
"Martinez, and Cook Collins","24619.89"
"and Schmidt Black, Wells","24617.97"
"and Oliver Warren, Trujillo","24617.78"
"and Gonzales Adams Whitney,","24616.22"
"Moore, Logan and Anderson","24615.16"
"Medina-Sanchez","24611.98"
"Lewis and Hudson Reid,","24609.59"
"Sparks LLC","24608.19"
"Schultz Gutierrez, Nunez and","24605.21"
"Key-Campbell","24603.03"
"Ltd Jensen","24602.86"
"Gardner-Walters","24602.51"
"Garcia-Silva","24602.38"
"Robinson, Lewis and Carroll","24599.96"
"Woods-Anderson","24599.05"
"and Lucas, Wong Fernandez","24597.65"
"Santiago-Fitzpatrick","24597.25"
"Sons and Cruz","24596.78"
"Robles-Potter","24595.27"
"Reynolds-Goodwin","24594.71"
"Ruiz Ltd","24594.54"
"Mclaughlin-Ford","24592.71"
"PLC Wilkerson","24592.22"
"Glover-Browning","24591.11"
"Buck-Compton","24587.12"
"Peterson, Riley and Porter","24586.18"
"Mooney-Scott","24583.65"
"Holmes-Bradley","24580.02"
"Rodriguez-Schmidt","24578.94"
"Rosario-Gomez","24577.80"
"Hunt Green and Kim,","24577.15"
"Sons Weiss and","24574.30"
"Kelley-Odom","24569.93"
"Schwartz, Robinson and Rodriguez","24569.17"
"Kennedy and Thompson Johnson,","24567.38"
"Woods, and Hawkins Gardner","24565.98"
"and Flynn Leonard, Schultz","24565.86"
"Middleton, Morris and Hansen","24563.40"
"Alexander-Murphy","24562.01"
"Sandoval-Bennett","24561.74"
"Ross Hart, and Mercer","24560.87"
"Blackwell-Cross","24560.72"
"Lee, Hawkins and Sanchez","24559.41"
"Smith, and Thomas Johnson","24559.33"
"Johnson-Wong","24558.34"
"Allen-Brown","24556.75"
"Wilson-Estrada","24556.33"
"Schmidt and Day, Rodriguez","24553.74"
"Brooks-Salazar","24553.59"
"Roach-Hunter","24553.12"
"PLC Ayala","24552.04"
"Huynh-Parker","24551.26"
"Orozco Vazquez White, and","24549.24"
"Warner-Smith","24547.56"
"Shaw, and Diaz Jones","24547.27"
"Strong-Bond","24539.95"
"and Myers Johnson Cummings,","24534.94"
"Williams Allen, and Carrillo","24532.65"
"and Diaz Hernandez, Sparks","24530.30"
"Bryant-Hanna","24529.93"
"Maxwell, Harris Watson and","24529.29"
"Leblanc-Bird","24525.19"
"and Cameron Martinez Moran,","24524.40"
"Wilson, and Gross Sherman","24524.27"
"Gould-Gibbs","24523.08"
"and Lawson Meyer Armstrong,","24522.51"
"Wright Weber, Harrison and","24522.00"
"Clark Oliver and Jones,","24519.03"
"Bullock-Richardson","24518.15"
"Simmons-Diaz","24517.68"
"Sons and Odonnell","24515.19"
"and Bailey Shea, Krause","24514.60"
"Edwards, Mcclure and Conner","24513.08"
"Bell-Ramos","24512.33"
"Gonzales PLC","24510.89"
"Thompson and Obrien, Nguyen","24510.49"
"Hanna-Bond","24510.16"
"Pruitt and Sons","24509.76"
"and Stone Smith, Jones","24509.02"
"and Maxwell, Barton Jones","24507.72"
"Frank, Chapman Wilson and","24506.70"
"Wilson, Sheppard Smith and","24506.39"
"Carpenter-Stanton","24506.10"
"Gonzales Garcia, and Smith","24505.12"
"Sons and Booth","24504.66"
"Torres Williams Roberts, and","24503.27"
"Hoffman-Zavala","24501.86"
"Murphy-Bowman","24501.33"
"Kelly, Kemp and Tate","24501.12"
"Lewis-Evans","24501.01"
"Roberts-Sexton","24500.19"
"Long-Williams","24500.11"
"Cervantes-Wells","24499.85"
"Mayo LLC","24498.29"
"Harris-Mann","24496.54"
"Weber-Livingston","24493.68"
"Rodriguez Rivera, Murphy and","24493.67"
"Salinas Gould Brown, and","24491.71"
"and King Hicks, Mullins","24491.46"
"Griffin, Ali and Mckinney","24491.19"
"Sons and Patton","24490.02"
"and Woods Watkins Jackson,","24489.95"
"Group Lamb","24489.23"
"Cole-Perez","24483.34"
"Butler-Goodman","24482.86"
"Ltd Dudley","24481.19"
"Perez-Scott","24480.91"
"Ramsey PLC","24480.13"
"Ltd Krueger","24479.55"
"Smith-Lucas","24478.56"
"and Gonzalez, Rogers Jackson","24478.49"
"Castillo-Patton","24478.27"
"Santana Roberts, Campos and","24477.09"
"Sweeney Group","24475.87"
"and Branch Benson Jones,","24474.46"
"Garcia-Collins","24473.89"
"Chambers-Griffin","24471.27"
"and Buckley Davis, Robinson","24470.59"
"Chen Walker and Farmer,","24468.82"
"Stevens-Ross","24466.99"
"Johnson, Deleon and Schwartz","24464.88"
"Inc French","24463.96"
"Vaughan and Jones, Abbott","24462.78"
"Davis-Love","24461.50"
"Pearson-Williams","24461.37"
"Campos-Carter","24460.25"
"Sampson Group","24459.91"
"Perkins Garcia, Graham and","24454.36"
"Hernandez and Delacruz, Kramer","24451.29"
"Smith, Maxwell and Lopez","24450.38"
"Beck Terrell, Williams and","24450.19"
"Schaefer Ltd","24449.19"
"Long-Mckee","24448.18"
"Robertson-Massey","24447.88"
"Rose-Anderson","24446.88"
"Collins-French","24446.86"
"Marquez Webster, Warner and","24443.93"
"Harris-Robbins","24443.86"
"Ward Jones and Leblanc,","24442.25"
"and Scott, Downs George","24439.14"
"and Hernandez Dennis Obrien,","24436.97"
"Lee-Holmes","24433.91"
"Ramirez Thomas, and George","24433.46"
"and Scott Woods Pierce,","24433.03"
"Robbins Hogan Williams, and","24430.53"
"Richmond, Hess and Lee","24426.13"
"Williams, White Bird and","24425.40"
"Brown-Pierce","24421.40"
"King, and Beard Larsen","24420.04"
"and Smith, Ball Gregory","24417.41"
"Inc Beltran","24416.28"
"Bates, Jarvis and Moore","24415.59"
"Myers-Garcia","24415.57"
"Camacho-Parker","24413.49"
"LLC Phillips","24413.44"
"Quinn-Barrett","24413.39"
"and Atkins Barnes, Hall","24412.93"
"Villa-Velez","24409.56"
"Rhodes Decker, and Daniel","24409.26"
"Carney-Chavez","24409.12"
"Hendrix Bennett Gentry, and","24408.16"
"Henderson, Rich and Moreno","24407.84"
"Moss-Terry","24407.11"
"Patterson-Eaton","24401.45"
"Thompson-Solis","24400.87"
"and Bauer Bowman, Lutz","24397.32"
"Duran, and Pacheco Maxwell","24396.72"
"and Robinson Fitzgerald, Bryant","24396.09"
"and Grimes Reyes, Lee","24396.05"
"Harris Patel, and Collins","24395.97"
"and Bishop, Johnson Ali","24395.73"
"Hancock Perez Gill, and","24394.64"
"Group Weeks","24393.13"
"Young-Carpenter","24392.88"
"Ortega Valdez, Gomez and","24392.21"
"White, Knight and Schmidt","24390.20"
"Robinson-Alvarado","24389.97"
"Sullivan-Miller","24389.44"
"Morales and Singleton Crane,","24389.43"
"Brown-Snow","24386.44"
"Whitney Martinez, and Scott","24383.57"
"and Miller Gonzales Estrada,","24382.72"
"Barrett-Barrera","24378.55"
"Cook and Edwards Flowers,","24378.33"
"White Cook and Moore,","24377.65"
"David-Campbell","24377.49"
"Warren, and Oneill Hernandez","24377.15"
"Alexander-White","24371.01"
"and Williams Brown, Hayes","24369.17"
"Anderson Allison, Brown and","24366.68"
"Mcguire-Johnson","24366.40"
"Grimes and Turner Turner,","24362.97"
"Nash-Webb","24362.26"
"Barnes PLC","24360.44"
"Casey Doyle, and Barnes","24359.40"
"Peterson, Barnes and Gordon","24358.78"
"Holt Lopez, and Cantrell","24357.44"
"and Smith Waters Stewart,","24356.90"
"and Lawrence, Reyes Nguyen","24356.52"
"and Morton, Thompson Wilson","24356.36"
"Bass Ltd","24352.58"
"Roberts Thompson Martin, and","24351.58"
"Torres-Martin","24350.42"
"Tyler Group","24350.15"
"LLC Khan","24349.91"
"Orr-Lawrence","24349.52"
"and Lewis, Hardy Cooper","24346.52"
"Mcgee Kim Taylor, and","24343.02"
"and Curtis Miranda, Edwards","24340.76"
"Perkins, Salazar and Johnson","24340.32"
"Schmitt LLC","24339.21"
"Morales-Chambers","24338.90"
"Ryan, Richardson Lawrence and","24337.94"
"Thomas-Bradley","24336.11"
"Sons and Noble","24333.34"
"Larson, Ruiz Nguyen and","24331.43"
"Kennedy, Lopez and Romero","24329.44"
"Jones-Richards","24326.00"
"Beck and Martinez, Salinas","24321.45"
"Inc Coleman","24320.26"
"Garner-Mitchell","24315.65"
"Adams-Garza","24312.49"
"Ruiz and Ramirez, Gonzalez","24311.49"
"Hart Conrad, and Tanner","24311.01"
"Freeman Nelson, and Torres","24310.08"
"Fry-Wilson","24310.06"
"and Miller Brown, Cannon","24309.77"
"Boyd-Reyes","24308.36"
"Sons Peters and","24307.82"
"Dixon, Larson and Evans","24306.68"
"Webb and Sons","24306.51"
"Pope, Day Mason and","24306.32"
"Marsh-Tran","24304.24"
"Knight Martinez, Fisher and","24303.85"
"Johnson Riley, and Walker","24303.41"
"Hernandez Stewart, and Gentry","24301.27"
"Brown Martin and Berry,","24299.33"
"Ali, Cooper Gilbert and","24297.27"
"Norman-Sullivan","24295.76"
"Garcia Sellers, Phillips and","24294.71"
"Yu PLC","24294.12"
"Evans and Byrd, Smith","24293.63"
"Ltd Kline","24292.66"
"Copeland Sons and","24292.31"
"and Poole Mercado, Frazier","24291.34"
"PLC Joseph","24290.44"
"Mendez-Sherman","24286.63"
"and Lara, Rivas Wilson","24285.36"
"Watts Walsh, and Reid","24285.20"
"Brock and Mclean Stone,","24285.09"
"and Wiggins Thornton Cunningham,","24284.35"
"Kirk-Owen","24284.11"
"Pollard-Burton","24282.46"
"Elliott-Jackson","24281.37"
"and Hogan, Walker Murphy","24281.26"
"Kidd-Jensen","24280.70"
"Jennings-Cole","24280.17"
"Wallace, Cobb and Bullock","24279.50"
"Saunders Ltd","24272.18"
"Hayes Smith, and Young","24271.48"
"Richards-Marshall","24265.06"
"and Ward Whitney Jones,","24261.94"
"Stafford Cardenas, Lopez and","24261.13"
"Guzman-Gomez","24260.51"
"Moreno and Lloyd, Francis","24259.01"
"Lee-Peterson","24258.79"
"Hopkins Hopkins, and Dominguez","24256.99"
"Reese Holt Kim, and","24256.97"
"Green-Gomez","24256.20"
"Palmer-Gonzalez","24254.53"
"Hicks Group","24254.13"
"Hunt-Dillon","24253.01"
"Guzman Smith, Smith and","24251.99"
"and Rivera Barnes Bradshaw,","24250.55"
"Ware-Jackson","24250.37"
"Grimes Yates Hines, and","24247.49"
"Ltd Rhodes","24244.67"
"and Davis, Clark Higgins","24244.48"
"and Reyes Sons","24241.53"
"Deleon-Holden","24240.09"
"Sheppard-Johnson","24232.63"
"Acosta-Barnes","24230.82"
"Henson-Johnson","24229.43"
"Warren Peterson Reed, and","24225.62"
"Marquez Watson Moore, and","24225.23"
"Patel PLC","24224.61"
"Lopez Joseph and Nelson,","24223.49"
"Ramos-Adkins","24223.42"
"Burns-Foster","24223.13"
"Baker-Prince","24222.79"
"and Mendoza, Keith Johnson","24222.06"
"Cox, and Johnson Cuevas","24221.97"
"Ramos-Montgomery","24221.30"
"and Williams Ellis Schneider,","24220.86"
"Yang Martinez Harris, and","24220.54"
"Flores and King Castro,","24220.41"
"Davis Dawson Rogers, and","24219.74"
"Martinez-Hamilton","24219.30"
"Fernandez-Henderson","24218.84"
"Hill, Miller and Castillo","24218.51"
"Peterson and Flores Hutchinson,","24218.48"
"Williams-Friedman","24216.51"
"Mccoy-Burns","24214.14"
"Lindsey Ltd","24212.75"
"Cole-Edwards","24212.45"
"Medina-Cardenas","24211.60"
"Dunn-Thomas","24211.02"
"Carter-Bowen","24210.23"
"Marsh LLC","24210.03"
"Group Horton","24209.98"
"Martinez-Erickson","24209.32"
"Johnson-Franklin","24208.59"
"Good-Howard","24207.23"
"Watkins and Watson, Cooper","24204.38"
"Roberts-Sanders","24202.59"
"Hodges-Fowler","24201.92"
"Lucas Group","24201.50"
"Hill, Norris Montgomery and","24199.97"
"Duncan-Anderson","24199.64"
"Robinson-Mccoy","24199.58"
"Kennedy and Burke, Lynch","24199.24"
"Aguilar-Scott","24198.45"
"Marks-Jacobs","24196.78"
"Inc Krueger","24195.70"
"Koch Ltd","24193.84"
"Porter-Perez","24192.69"
"and Hart Browning Hill,","24192.13"
"and Moody, Smith Flores","24191.67"
"Mitchell Davis and Anderson,","24191.65"
"Flowers-Bonilla","24189.30"
"Figueroa and Sons","24188.34"
"Lewis-Mendoza","24187.47"
"Patrick-Levine","24186.81"
"Stephenson-Moran","24183.19"
"Mccoy-Johns","24182.87"
"and Williams Holt, Velasquez","24182.01"
"Elliott, Mccoy and Walters","24179.80"
"Wiggins Pacheco, and Vasquez","24179.52"
"and Reeves Adkins, King","24177.88"
"Booth-Davidson","24176.69"
"Martin, and Hernandez Young","24175.66"
"Hughes-Clarke","24173.59"
"Norris-Grant","24172.73"
"Bowers-Meyer","24172.11"
"and Ward Sharp Fitzgerald,","24164.08"
"Stevenson-Ford","24158.27"
"Duffy-Blake","24157.54"
"and Silva, King Hampton","24156.16"
"Sloan Ltd","24155.83"
"Banks-Washington","24153.98"
"Holland-Stevens","24153.16"
"Barton Williams and Lewis,","24151.60"
"and Patrick, Solis Jones","24148.33"
"Stewart-Vance","24145.73"
"Clements Inc","24140.46"
"Stewart Dodson Stewart, and","24139.19"
"Young, Cruz and Crawford","24136.88"
"Graham-Hines","24136.32"
"Parker Patrick, Garcia and","24135.94"
"Johnston-Kim","24135.10"
"Aguilar, Castaneda and Johnson","24132.34"
"Gallagher-Torres","24130.42"
"Mathis PLC","24128.17"
"Simpson Rojas and Love,","24126.39"
"Dorsey, Moon Murphy and","24125.91"
"Bentley-Knight","24125.21"
"Pena-Smith","24124.21"
"Spencer, and Dennis Perez","24121.31"
"Wilson-Pratt","24118.72"
"Perez Wright, Taylor and","24118.39"
"Ingram Bailey and Little,","24117.23"
"Heath, Smith Kennedy and","24116.82"
"Russell-Tucker","24116.01"
"Perez Hernandez, Finley and","24115.98"
"PLC Schneider","24113.33"
